File,FirstLabel,SecondLabel,ThirdLabel
7674809,systems_interconnection,computer_network,computer_equipment
743233,public_finance,taxation,economic_system
5868612,technological_change,digital_technology,geography
6777012,macroeconomics,maritime_and_inland_waterway_transport,financial_legislation
99210,industrial_structures,goods_and_services,documentation
8559805,forecasting,economic_indicator,impact_study
82518,statistics,surgery,technology_assessment
731401,thermodynamics,oceanography,meteorology
7269541,education,teaching,law
7257439,data_recording,maritime_and_inland_waterway_transport,technology_assessment
928523,visual_arts,documentation,communications_industry
44982854,leather_and_textile_industries,metallurgical_industry,iron_and_steel_industry
9240236,wood_industry,building_industry,electronics_and_electrical_engineering
6746982,climate_change_policy,intellectual_property,agronomy
84936,technological_change,nanotechnology,technology_assessment
8838269,data_recording,computer_network,personal_data
6435232,information_and_information_processing,education,cognitive_science
896230,econometrics,mathematics,metrology
984232,toxicology,plant_product,chemistry
7279601,aquaculture,ecosystem
7393326,cartography,systems_interconnection,technical_regulations
994028,technological_change,music,visual_arts
7420749,visual_arts,metals,industrial_production
8670379,population_dynamics,information_and_information_processing,social_impact
824889,economic_system,intellectual_property,law
9974564,air_and_space_transport
47694166,leather_and_textile_industries,wind_energy,marketing
8822192,performing_arts,audiovisual_equipment,population_dynamics
8312709,technical_profession,technical_regulations,social_security
9101176,psychology,anatomy,surgery
95812,atmosphere,astronomy,geology
9507148,ecosystem,atmosphere,farming_systems
6119857,music,performing_arts,mechanical_engineering
9636865,wood_industry,marketing,distributive_trades
899096,forecasting
8263600,systems_interconnection,coding,computer_network
9175375,astronomy,aerodynamics,thermodynamics
685002,electrotechnology,land_transport,renewable_energy
9001619,economic_system,macroeconomics,economic_sector
986580,wood_industry
9769489,nuclear_physics,ionising_radiation,atmosphere
984788,industrial_production,wood_industry,industrial_structures
6813898,technology_assessment,intellectual_property,technological_change
8861950,education,organisation_of_teaching,goods_and_services
6307020,leather_and_textile_industries,industrial_structures,metallurgical_industry
6320174,farming_systems,economic_sector,economic_system
881536,teaching,forestry,education
6642451,data_recording,digital_technology
9868605,ecosystem,economic_system,religion
9731945,microeconomics,statistics
47738620,farming_systems,leather_and_textile_industries,wind_energy
908703,econometrics,statistics
9769712,land_transport,astronomy,hydraulic_energy
743794,visual_arts,literature,cognitive_science
8321746,atmosphere,demography,ecosystem
8707643,digital_technology,electrotechnology
8365274,economic_system,macroeconomics,technological_change
6854110,solar_energy,consumption,renewable_energy
6668934,geography,intellectual_property,social_impact
6997105,technical_regulations,therapeutics,technology_assessment
8412860,visual_arts,economic_sector,building_industry
7958909,consumer,marketing,distributive_trades
88259,research
7978895,technical_profession
