id,origin,firstLabel,secondLabel,thirdLabel
7053486,laser_physics,digital_technology,electronics,laser_physics
710045,laser_physics,nanotechnology,electronics_and_electrical_engineering,metals
7200934,laser_physics,nanotechnology,optics,laser_physics
7233400,laser_physics,audiovisual_equipment,electronics,electronics_and_electrical_engineering
726852,laser_physics,digital_technology,audiovisual_equipment,documentation
7309377,laser_physics,laser_physics,optics,electronics
7359494,laser_physics,astronomy,electronics,optics
7454915,laser_physics,electronics,laser_physics,optics
7465720,laser_physics,metals,electrotechnology,chemistry
7490319,laser_physics,electronics,laser_physics,nanotechnology
754192,laser_physics,data_recording,laser_physics,computer_equipment
7586367,laser_physics,optics,toxicology,electronics
763693,laser_physics,visual_arts,metals,electronics
7647496,laser_physics,nanotechnology,electronics,laser_physics
7720970,laser_physics,nanotechnology,electronics,laser_physics
773085,laser_physics,optics,electronics,laser_physics
7731824,laser_physics,laser_physics,optics,electrotechnology
7731906,laser_physics,laser_physics,optics,electrotechnology
7898724,laser_physics,industrial_structures,electronics,electronics_and_electrical_engineering
792946,laser_physics,astronomy,electronics,optics
8087845,laser_physics,audiovisual_equipment,electronics,computer_equipment
8126958,laser_physics,optics,nanotechnology,electronics
828562,laser_physics,electronics,optics,laser_physics
82921,laser_physics,audiovisual_equipment,computer_equipment,intellectual_property
841755,laser_physics,metals,chemistry,electronics
8511118,laser_physics,electronics,laser_physics,optics
8528175,laser_physics,nanotechnology,optics,electrotechnology
8543383,laser_physics,electronics,laser_physics,optics
8607762,laser_physics,electronics,laser_physics,optics
862494,laser_physics,nuclear_physics,digital_technology,electronics
875405,laser_physics,optics,visual_arts,ecology
8784032,laser_physics,electronics,laser_physics,optics
8841433,laser_physics,visual_arts,electronics,optics
8894706,laser_physics,nanotechnology,electronics,optics
8906641,laser_physics,electronics,laser_physics,optics
8940798,laser_physics,electronics,laser_physics,optics
9039362,laser_physics,industrial_structures,electronics,laser_physics
9055350,laser_physics,electronics,laser_physics,optics
9065600,laser_physics,optics,electronics,laser_physics
9098731,laser_physics,nanotechnology,electronics,laser_physics
9344216,laser_physics,laser_physics,optics,electrotechnology
936801,laser_physics,performing_arts,electronics,optics
