ID,EN
594,AAMS countries
759,abandoned child
4444,abandoned land
3509,ABM Agreement
4333,abolition of customs duties
4504,abortion
5075,Abruzzi
5339,absenteeism
1746,absolute majority
5984,abstentionism
4523,Abu Dhabi
186,abuse of power
3914,academic freedom
6706,accession criteria
6708,accession negotiations
5420,accession to an agreement
12,accession to the European Union
545,access to a profession
280,access to education
5399,access to EU information
453,access to information
5400,access to the courts
6413,accidental pollution
5314,accident in the home
5810,accident prevention
61,account
60,accountant
54,accounting
1333,accounting entry
4362,accounting system
4873,acculturation
5035,acid
6407,acidification
4165,acid rain
3291,acoustics
5083,ACP countries
4051,ACP-EU Committee of Ambassadors
4049,ACP-EU Convention
4041,ACP-EU Council of Ministers
1450,ACP-EU institution
5132,ACP-EU Joint Assembly
4052,ACP-EU Joint Committee
442821,ACP-EU relationship
5093,acquisition of property
5835,action brought before an administrative court
3979,action by staff
2940,action for annulment
5837,action for annulment (EU)
2941,action for failure to act
2942,action for failure to fulfil an obligation
2792,action programme
5838,action to establish liability on the part of an administration
2651,activating price
2894,activity report
5419,adaptation of financial perspectives
434786,adaptation to climate change
4641,added value
1369,additional benefit
4329,additional duty
3554,additional resources
3,adhesive
14,ad hoc committee
1062,adjournment
6037,adjustment to school
28,adjuvant
442917,administration headquarters
5421,administration of the Institutions
5450,administrative autonomy
6610,administrative code
4090,administrative competition
5536,administrative contract
171,administrative control
206,administrative cooperation
1539,administrative court
397,administrative expenditure
5577,administrative expenditure (EU)
5070,administrative formalities
517,administrative law
5217,administrative measure
7365,administrative offence
2669,administrative order
3582,administrative personnel
35,administrative powers
2695,administrative procedure
2968,administrative reform
4011,administrative responsibility
3862,administrative sanction
3923,administrative science
2166,administrative structures
5945,administrative supervision
5936,administrative transparency
362,administrative unit
8542,administrator
2913,admissibility
4005,admission of aliens
88,admission to examinations
3700,ADN agreement
3302,adopted child
6536,adoption law
117,adoption of a child
127,adoption of a law by vote
144,adoption of the budget
1195,ADR agreement
c_46e54685,Adriatic Croatia
5221,Adriatic Sea
160,adult
674,adult education
4383,advance
3689,advanced materials
1376,advanced technology industry
2217,advance payment
4759,advance voting
2862,advertising
5058,advertising budget
2863,advertising malpractice
6050,advisory committee (EU)
3046,advisory power
4171,Aegean Islands
5223,Aegean Sea
1665,aerated drink
4107,aerodynamics
1357,aeronautical industry
212,aerosol
1358,aerospace industry
c_ea3f5ed2,aerostat
6903,aesthetic surgery
1283,AETR agreement
3212,affiliated retailing
5016,afforestation
261,Afghanistan
281,Africa
2102,African and Mauritian Common Organisation
6077,African Charter on Human and Peoples' Rights
450953,African Court of Justice and Human Rights
4744,African Development Bank
2167,African organisation
2202,African Union
4104,after-sales service
6230,age discrimination
380,agency abroad
447917,Agency for the Cooperation of Energy Regulators
2160,agenda
1747,age of majority
5489,aggravating circumstances
579,agrarian law
2970,agrarian reform
1474,agreement (EU)
131,agricultural adviser
4771,agricultural advisory services
6313,agricultural area with environmental restrictions
4752,agricultural bank
152,agricultural building
4225,agricultural by-product
6316,agricultural census
228,agricultural cooperative
6339,agricultural credit
3155,agricultural disaster
638,agricultural economics
780,agricultural education
846,agricultural equipment
5575,agricultural expenditure
2194,agricultural guidance
937,agricultural holding
2204,agricultural implement
3274,agricultural insurance
1738,agricultural labour force
4445,agricultural land
2591,agricultural levy
1719,agricultural machinery
1788,agricultural market
3605,agricultural performance
2442,agricultural policy
2734,agricultural product
2709,agricultural production
2477,agricultural production policy
2725,agricultural productivity
2068,agricultural product nomenclature
2974,agricultural quota
2814,agricultural real estate
3034,agricultural region
7204,agricultural sector representative body
4117,agricultural situation
4257,agricultural statistics
4298,agricultural structure
926,agricultural surplus
613,agricultural trade
4655,agricultural vehicle
344,agricultural waste
2893,agriculture-industry relationship
2892,agriculture-trade relationship
6310,agri-environmental plan
656,agri-foodstuffs
2511,agri-monetary policy
3736,agro-energy
6314,agroforestry
323,agro-industrial cropping
666,agro-industry
2915,agronomic research
685,agronomy
6374,aid evaluation
3069,aid for restructuring
910,aid in kind
755,aid per hectare
2460,aid policy
2793,aid programme
4843,aid recipient
5172,AIDS
3003,aid system
2965,aid to agriculture
826,aid to disadvantaged groups
3076,aid to disaster victims
3071,aid to industry
3075,aid to refugees
835,aid to undertakings
5471,air cabotage
6012,air conditioning
4438,aircraft
5801,aircraft carrier
1033,aircraft fleet
4652,air-cushion vehicle
3439,air force
4378,air freight rate
518,air law
3125,airline
195,airport
5887,air safety
859,air space
2039,air traffic
172,air traffic control
4505,air transport
1094,ALADI
1105,ALADI countries
6252,Åland
8499,Alba
1125,Albania
1134,alcohol
5018,alcoholic beverage
1162,alcoholism
1177,Alentejo
1121,Al Fujayrah
1204,algae
1187,Algarve
1196,Algeria
5431,allergy
6006,allocation clause
222,allocation of land
1409,allocation of resources
3313,allocation of seats
3321,allocation of work
3557,allowances and expenses
1340,alloy
5845,Alpine Region
1430,Alsace
4328,alternate
2976,alternative agricultural production
435469,alternative dispute resolution
c_dcc650ef,alternative investment
3289,alternative medicine
3957,alternative sentence
4106,alternative service
5950,alternative use of agricultural products
1446,aluminium
7869,Alytus county
5059,amending budget
1558,amendment
3703,amendment of a law
1587,America
2170,American organisation
3411,American Samoa
1664,Amnesty International
3695,amorphous materials
1673,amortisation
c_a2e1def8,amphibian
6270,analysis of causes
5300,analytical chemistry
1829,anarchism
1859,anatomy
5661,ancient history
1873,Andalusia
1190,Andean Community
1191,Andean Community countries
7205,Andean Parliament
1874,Andorra
5162,Anglicanism
1876,Angola
3402,Anguilla
1878,anhydride
3408,animal breeding
1755,animal disease
3667,animal experimentation
240,animal fats
1224,animal feedingstuffs
5877,animal health
1612,animal leucosis
972,animal life
1277,animal nutrition
1262,animal oil
2356,animal plague
2737,animal product
2711,animal production
2845,animal protein
3528,animal resources
5903,animal show
2302,animal skin
442765,animal taxonomy
4576,animal tuberculosis
5462,animal welfare
355,announcement of candidacy
1983,Antarctica
2108,Antarctic Ocean
4102,anthem
1997,antibiotic
2390,anti-crisis plan
3908,anti-discriminatory measure
519,anti-dumping duty
1591,anti-dumping legislation
5332,anti-dumping measure
5137,anti-European movement
7373,antiglobalisation movement
3401,Antigua and Barbuda
c_7dda56e2,antimicrobial resistance
366,anti-missile defence
3834,antimony
6377,anti-personnel weapon
5593,anti-pollution device
2000,anti-racist movement
2051,anti-semitism
2696,anti-subsidy proceeding
1592,anti-trust legislation
2070,Anzus
2079,Anzus countries
2086,apartheid
6205,APEC countries
2104,aperitif
2115,apiculture
3874,apparatus based on the use of rays
5954,appeal
5145,appeals by private individuals
2939,appeal to an administrative authority
5836,appeal to the Court (EU)
5834,appeal to the European Ombudsman
2247,application of EU law
2236,application of the law
2916,applied research
3949,applied sciences
8465,appointment of members
3559,appointment of staff
2276,apprentice
2284,apprenticeship
1252,approval
3103,approval of tariffs
2897,approximation of laws
2898,approximation of policies
2570,Apulia
2320,aquaculture
c_0e092eaf,aquatic ecosystem
5741,aquatic environment
2411,aquatic plant
2328,Aquitaine
4121,Arab-African cooperation
1793,Arab Common Market
1794,Arab Common Market countries
1657,Arab League
1658,Arab League countries
4448,arable land
8300,Arab Maghreb Union
2171,Arab organisation
c_6e703074,Arab world
8517,Arad
2354,Aragon
2371,arbitrage
6617,arbitration
6005,arbitration clause
2396,arboriculture
2453,archaeology
5444,archipelago
4100,architectural heritage
2471,architecture
2492,archives
2503,Arctic
2109,Arctic Ocean
1157,area management
6222,"area of freedom, security and justice"
4337,area of holding
2525,Argentina
8521,Arges
1,Århus (county)
4785,arid zone
2628,armed forces
5445,Armenia
3499,Armenian question
3506,arms control
1365,arms industry
3455,arms limitation
3451,arms policy
2303,arms supply
7,arms trade
2948,aromatic plant
1503,arrangement of working time
3970,arrest
670,art education
6040,artificial food colouring
3308,artificial insemination
3030,artificial intelligence
3307,artificial reproduction
7129,artist's resale right
283,artistic creation
3598,artistic profession
2688,arts
5513,art trade
2820,Aruba
196,Arusha Convention
1643,asbestos
1838,ASEAN
1847,ASEAN countries
2838,Asia
120,Asian and Pacific Council
3725,Asian and Pacific Development Centre
6336,Asian Development Bank
2172,Asian organisation
4615,Asian-Pacific Parliamentarians' Union
2094,Asian Productivity Organisation
6131,Asia–Pacific economic cooperation
2708,assembly line production
4546,assembly line work
184,assessment
4397,assessment of prices
2909,assistance in training
8407,assistant
6717,assisting spouse
5412,associated action for damages
2285,associated country
2944,association
1663,association agreement
4048,association agreement (EU)
116,Association Council (EU)
7415,Association of Caribbean States
5657,association of local authorities
4153,associative movement
6383,astronautics
3790,astronomy
8441,asymmetric warfare
3904,atheism
5443,Atlantic Arc
2110,Atlantic Ocean
3930,atlas
3967,atmosphere
89,atmospheric conditions
2522,atmospheric pollutant
2527,atmospheric pollution
5299,atom
3423,atomic bomb
5401,ATP Agreement
7889,Attica
4668,auction sale
5477,audio cassette
5191,audiovisual communications policy
5185,audiovisual co-production
487,audiovisual document
3855,audiovisual equipment
1366,audiovisual industry
5192,audiovisual piracy
5187,audiovisual production
5186,audiovisual programme
6064,audit
4675,auditing
2461,austerity policy
4160,Australia
4353,Austria
5254,authorised catch
3002,authoritarian regime
3336,automatic game
6901,automatic vending machine
4253,automation
6887,autonomist party
5119,autonomous community
1999,autonomous movement
5246,Autonomous Province of Bolzano
5247,Autonomous Province of Trento
4272,autonomy
4364,Auvergne
3539,auxiliary worker
2127,available energy
466,available energy resources
2683,average price
8464,avian influenza
3776,aviation fuel
c_c8c80a5b,aviation security
20,award of contract
4398,axle tax
5388,axle weight
5454,Azerbaijan
5076,Azores
1240,baby food
8506,Bacau
6618,backlog of court cases
3615,backwardness at school
4560,Baden-Württemberg
5683,bad weather
4567,Bahamas
4572,Bahrain
1272,bailiff
5031,bakery
4671,balance of payments
73,balance of payments assistance
4644,balance-of-payments deficit
4884,balance sheet
1782,balance-sheet analysis
3386,Balearic Islands
4679,Bali
3425,ballistic missile
5064,ballot paper
1871,Baltic Sea
5774,Baltic States
4732,Bangladesh
4738,bank
3252,bank charges
408,bank deposit
5044,Bank for International Settlements
2149,banking
2447,banking policy
3612,banking profession
3994,banking secrecy
3251,banking supervision
4356,banking system
960,bankruptcy
7837,Banská Bystrica region
4819,bar
4816,Barbados
c_1c2d26cf,Barents Sea
2316,barge
2044,barge carrier ship
2193,barley
2597,barring of penalties by limitation
4573,barter
672,basic education
6781,basic needs
2650,basic price
3670,basic research
4823,Basilicata
2900,basis of tax assessment
2225,basket of currencies
2289,Basque Country
600,bathing water
3755,bauxite
4835,Bavaria
8445,bear
3759,bearing
4682,beef
5012,beef animal
4883,beer
4317,beet sugar
3928,behavioural sciences
5458,Belarus
5517,Belgian communities
4839,Belgium
4588,Belgo-Luxembourg Economic Union
4841,Belize
6362,benchmarking
4844,Benelux
4845,Benelux countries
4846,Benin
4847,Berlin
4848,Bermuda
3835,beryllium
4859,BEUC
5017,beverage
1378,beverage industry
4862,Bhutan
4864,bibliography
4871,bicameral system
8511,Bihor
3462,bilateral agreement
845,bilateral aid
3196,bilateral relations
4888,bilingualism
4889,biochemistry
6385,bioclimatology
4890,bioconversion
4891,biodegradability
5463,biodiversity
4892,bioenergy
5169,bio-ethics
8412,biofuel
4900,biogas
4905,biography
3796,bio-industry
2080,biological standard
3419,biological weapon
4921,biology
4930,biomass
3697,biomaterials
7410,biometrics
3795,bioprocess
4940,biosphere
3797,biotechnology
5464,biotope
4959,bipolarisation
5760,bird
3168,birth control
2480,birth policy
2029,births
4984,biscuit factory
4990,bismuth
8512,Bistrita-Nasaud
3756,bituminous materials
c_623f2583,bivalve mollusc
5736,Black Sea
8333,Blagoevgrad region
4751,blank ballot paper
7998,Blekinge county
8413,blog
5717,blood disease
5293,blood transfusion
2207,blue-collar worker
1107,blue-veined cheese
5687,boarding school
115,board of directors
447,board of management
c_4768a12e,Body of European Regulators for Electronic Communications
5397,boiler
5020,Bolivia
3825,bolt and screw industry
5468,bomber
5022,Bonaire
451912,"Bonaire, Saint Eustatius and Saba"
2098,bond
3884,bonded wood
4688,boned meat
2619,bonus payment
1629,bookshop
